name,rate,votes,location,cuisines,approx_cost(for two people),online_order,book_table
Burger King,4.4,2078,Marathahalli,Biryani,700,No,No
Truffles,4.2,589,Koramangala,Fast Food,1200,No,Yes
Cafe Coffee Day,4.5,1043,Whitefield,South Indian,900,Yes,Yes
Cafe Coffee Day,3.7,1335,Jayanagar,Italian,1400,No,Yes
Truffles,4.3,1927,MG Road,Chinese,700,Yes,Yes
Meghana Foods,3.8,2360,Jayanagar,Fast Food,900,No,Yes
Subway,3.2,2292,JP Nagar,South Indian,1000,No,Yes
Local Restaurant 839,4.4,435,Marathahalli,North Indian,1200,No,No
Empire Restaurant,3.7,1598,Koramangala,Fast Food,500,Yes,No
Subway,4.7,1352,Whitefield,Italian,1400,Yes,No
Domino's Pizza,4.3,483,Marathahalli,Fast Food,400,No,Yes
Burger King,3.6,2083,BTM,Chinese,1200,No,Yes
Meghana Foods,3.8,1926,JP Nagar,Chinese,1200,No,Yes
Meghana Foods,4.5,392,BTM,Pizza,600,No,No
Subway,4.3,1567,MG Road,Multi Cuisine,500,Yes,Yes
Subway,3.4,2098,Whitefield,Italian,700,No,No
McDonald's,4.5,766,MG Road,Chinese,1000,No,Yes
Pizza Hut,4.5,2429,MG Road,Biryani,700,Yes,Yes
Cafe Coffee Day,4.1,242,Jayanagar,Pizza,1200,No,No
Pizza Hut,4.4,1231,Jayanagar,Multi Cuisine,500,No,No
Subway,3.8,1385,Indiranagar,Multi Cuisine,600,No,Yes
Local Restaurant 853,3.8,404,HSR,South Indian,500,Yes,Yes
Burger King,4.5,353,Indiranagar,Biryani,1000,Yes,No
KFC,4.6,1058,Jayanagar,Pizza,1200,No,Yes
Local Restaurant 856,4.6,1141,Indiranagar,North Indian,1000,Yes,No
Burger King,3.4,438,Marathahalli,North Indian,400,No,No
Domino's Pizza,4.1,845,MG Road,American,800,Yes,No
Pizza Hut,4.3,300,Whitefield,Cafe,500,No,No
Truffles,3.4,1226,JP Nagar,Pizza,1400,No,No
McDonald's,4.9,193,Indiranagar,Multi Cuisine,800,No,No
Local Restaurant 862,4.0,619,HSR,North Indian,700,Yes,Yes
Pizza Hut,4.0,749,JP Nagar,Italian,700,No,Yes
Pizza Hut,4.5,134,JP Nagar,North Indian,1000,Yes,No
Subway,4.8,773,Marathahalli,Fast Food,500,No,No
Subway,3.8,1901,Whitefield,Chinese,1400,No,Yes
Truffles,3.5,488,MG Road,Cafe,1400,Yes,Yes
Local Restaurant 868,3.7,216,Jayanagar,Cafe,500,Yes,No
Truffles,3.5,1815,Indiranagar,Pizza,600,Yes,No
Domino's Pizza,3.3,1220,HSR,Pizza,900,Yes,Yes
Local Restaurant 871,4.1,1239,Whitefield,Cafe,500,No,Yes
Meghana Foods,4.6,1974,JP Nagar,Pizza,800,Yes,No
Local Restaurant 873,4.0,1219,Jayanagar,Multi Cuisine,1000,No,No
Empire Restaurant,4.3,705,Indiranagar,Fast Food,1200,No,Yes
Domino's Pizza,4.5,643,JP Nagar,Chinese,700,No,No
Domino's Pizza,4.6,2180,BTM,South Indian,900,No,Yes
Subway,3.2,1944,Indiranagar,North Indian,1200,Yes,Yes
Meghana Foods,4.4,1459,BTM,South Indian,800,Yes,Yes
McDonald's,3.8,1422,Jayanagar,Cafe,900,Yes,Yes
Burger King,3.9,2443,BTM,Multi Cuisine,900,No,No
Burger King,3.9,501,Jayanagar,American,400,No,No
Local Restaurant 882,3.5,99,Whitefield,Multi Cuisine,900,Yes,No
McDonald's,4.1,1485,MG Road,North Indian,1200,No,No
Subway,4.2,1094,MG Road,Chinese,1000,No,Yes
Pizza Hut,3.6,1566,BTM,Pizza,900,Yes,Yes
Truffles,4.4,2277,Marathahalli,South Indian,1400,No,No
Local Restaurant 887,4.1,650,Marathahalli,Chinese,400,No,Yes
Empire Restaurant,4.8,2417,HSR,Biryani,1200,Yes,Yes
Cafe Coffee Day,4.0,1718,Jayanagar,Multi Cuisine,1000,No,Yes
Local Restaurant 890,4.8,1662,BTM,Biryani,600,No,Yes
Local Restaurant 891,4.3,1352,MG Road,Multi Cuisine,1000,No,No
Local Restaurant 892,3.3,1506,BTM,Fast Food,700,No,Yes
Domino's Pizza,3.8,1169,BTM,Fast Food,800,Yes,Yes
Burger King,3.7,900,Whitefield,South Indian,500,Yes,No
Truffles,3.3,2128,Banashankari,Italian,1400,No,No
Local Restaurant 896,4.7,245,MG Road,North Indian,500,Yes,Yes
Empire Restaurant,4.6,698,Jayanagar,Biryani,1000,Yes,No
Subway,3.8,1367,Indiranagar,South Indian,1400,No,No
Empire Restaurant,4.0,1481,Whitefield,Multi Cuisine,1000,Yes,No
Pizza Hut,3.4,994,Indiranagar,Multi Cuisine,900,No,Yes
Truffles,4.4,1060,MG Road,Pizza,700,Yes,No
KFC,4.0,274,Banashankari,North Indian,1400,No,Yes
Burger King,4.3,1770,Marathahalli,Chinese,600,Yes,No
Burger King,3.6,2189,Indiranagar,South Indian,700,No,No
Truffles,4.1,1273,Banashankari,South Indian,1200,No,Yes
Empire Restaurant,3.9,1921,Marathahalli,Chinese,400,No,Yes
Local Restaurant 907,4.6,174,Koramangala,Biryani,1000,No,Yes
Pizza Hut,4.0,297,Indiranagar,Biryani,1200,Yes,No
KFC,3.7,1374,Marathahalli,Pizza,1400,Yes,Yes
Cafe Coffee Day,3.3,1934,Koramangala,American,900,No,No
Cafe Coffee Day,4.7,1810,BTM,Italian,900,Yes,Yes
Cafe Coffee Day,4.5,358,Jayanagar,Pizza,900,No,Yes
Local Restaurant 913,4.5,1375,Marathahalli,Cafe,1200,No,Yes
Local Restaurant 914,4.7,1597,Whitefield,Multi Cuisine,1200,No,No
Truffles,3.8,1630,BTM,Pizza,400,Yes,No
Domino's Pizza,3.4,511,Jayanagar,Italian,600,No,No
Cafe Coffee Day,4.6,1033,Marathahalli,Pizza,1200,No,Yes
Empire Restaurant,4.0,744,MG Road,Italian,1000,No,No
McDonald's,3.8,760,Koramangala,Fast Food,1200,No,Yes
Truffles,4.8,422,Koramangala,Cafe,800,No,Yes
Burger King,3.7,1606,MG Road,Multi Cuisine,700,No,No
Local Restaurant 922,3.3,2454,MG Road,Fast Food,400,No,Yes
McDonald's,4.6,1416,JP Nagar,Cafe,600,No,Yes
Subway,4.7,171,Whitefield,Cafe,900,No,No
Empire Restaurant,4.2,764,HSR,Fast Food,1200,No,No
Empire Restaurant,3.8,448,BTM,Italian,1400,No,Yes
Local Restaurant 927,3.6,522,MG Road,Chinese,500,No,No
Local Restaurant 928,3.6,2394,JP Nagar,Multi Cuisine,800,No,Yes
KFC,3.5,668,Indiranagar,North Indian,1000,Yes,Yes
Pizza Hut,3.3,2114,Whitefield,Biryani,900,Yes,No
Meghana Foods,3.8,1955,BTM,Italian,1400,No,Yes
Local Restaurant 932,3.6,1228,Banashankari,Biryani,1000,Yes,No
Local Restaurant 933,3.5,608,Koramangala,North Indian,900,Yes,Yes
Local Restaurant 934,3.9,2439,JP Nagar,South Indian,1000,No,Yes
Pizza Hut,4.3,563,BTM,North Indian,900,Yes,Yes
Subway,4.6,1574,JP Nagar,Multi Cuisine,700,Yes,Yes
Domino's Pizza,4.8,1190,HSR,Italian,500,Yes,No
Burger King,3.5,1722,Whitefield,Cafe,500,No,No
Local Restaurant 939,4.2,437,BTM,South Indian,1000,Yes,Yes
Pizza Hut,4.2,52,Whitefield,American,600,No,No
Cafe Coffee Day,4.5,1351,MG Road,Chinese,1400,No,Yes
Local Restaurant 942,4.9,1268,JP Nagar,Cafe,900,No,Yes
Truffles,4.0,406,Marathahalli,Chinese,1400,No,Yes
Domino's Pizza,3.8,80,Koramangala,Chinese,1200,No,Yes
Burger King,3.5,1729,MG Road,Chinese,800,Yes,No
Cafe Coffee Day,4.7,1768,Banashankari,Multi Cuisine,500,Yes,Yes
Subway,4.1,1090,Indiranagar,American,800,Yes,No
KFC,3.3,117,JP Nagar,American,400,Yes,Yes
Pizza Hut,3.4,991,Banashankari,Multi Cuisine,400,Yes,Yes
KFC,4.9,995,HSR,American,400,Yes,No
Local Restaurant 951,4.8,1819,MG Road,Cafe,800,Yes,No
Cafe Coffee Day,4.6,2196,HSR,Biryani,600,No,Yes
Meghana Foods,4.2,743,Banashankari,American,1000,Yes,No
Empire Restaurant,4.6,1535,Marathahalli,North Indian,500,Yes,Yes
Pizza Hut,3.5,1581,Banashankari,Fast Food,700,Yes,No
Subway,4.2,1022,Whitefield,Biryani,1400,Yes,Yes
McDonald's,3.8,453,JP Nagar,Multi Cuisine,1000,Yes,Yes
Empire Restaurant,3.8,849,HSR,Pizza,1400,Yes,No
Cafe Coffee Day,4.0,260,Whitefield,Chinese,900,No,No
Burger King,4.4,1532,Banashankari,South Indian,1400,No,Yes
Pizza Hut,4.7,138,BTM,South Indian,1400,Yes,No
Cafe Coffee Day,4.4,1881,HSR,Pizza,900,No,Yes
KFC,4.7,1605,Jayanagar,Fast Food,1400,Yes,Yes
Truffles,4.3,1656,Banashankari,Chinese,700,Yes,Yes
Meghana Foods,3.5,1415,Koramangala,Italian,1200,Yes,Yes
Burger King,3.4,624,Banashankari,South Indian,1000,No,No
Local Restaurant 967,4.2,1079,Indiranagar,Fast Food,900,Yes,No
Local Restaurant 968,4.5,251,Marathahalli,Italian,500,Yes,No
Local Restaurant 969,3.8,864,Marathahalli,Italian,700,No,No
Local Restaurant 970,3.3,1829,Jayanagar,Fast Food,400,Yes,Yes
Local Restaurant 971,4.7,1440,Banashankari,North Indian,600,Yes,No
Cafe Coffee Day,4.8,1490,JP Nagar,Pizza,400,Yes,No
Meghana Foods,3.9,2212,Marathahalli,Multi Cuisine,500,Yes,No
Truffles,3.7,1140,JP Nagar,Pizza,800,Yes,Yes
Subway,4.9,1686,Banashankari,North Indian,800,Yes,No
Local Restaurant 976,3.3,603,JP Nagar,South Indian,900,Yes,Yes
Burger King,4.2,1664,Banashankari,Pizza,500,Yes,No
Meghana Foods,3.4,2037,Indiranagar,Fast Food,400,Yes,Yes
McDonald's,3.4,2050,Marathahalli,Pizza,600,No,No
Cafe Coffee Day,4.0,1571,Marathahalli,Chinese,800,Yes,Yes
Local Restaurant 981,4.0,175,Whitefield,Multi Cuisine,500,Yes,No
Domino's Pizza,3.6,2035,HSR,Pizza,400,Yes,Yes
Truffles,4.2,2400,JP Nagar,Fast Food,700,No,No
KFC,4.4,673,Koramangala,Pizza,600,Yes,No
Meghana Foods,4.4,869,MG Road,Italian,700,No,Yes
Local Restaurant 986,3.7,1514,Whitefield,Fast Food,1200,No,No
Burger King,4.9,2267,HSR,South Indian,400,Yes,No
Empire Restaurant,4.4,2137,Indiranagar,South Indian,1200,Yes,No
Empire Restaurant,3.6,1930,Whitefield,Multi Cuisine,1000,Yes,No
KFC,4.2,946,Marathahalli,Biryani,400,No,No
Empire Restaurant,4.3,1409,Jayanagar,Cafe,800,No,Yes
Local Restaurant 992,3.8,2386,MG Road,Pizza,900,No,Yes
Burger King,4.7,331,Banashankari,Chinese,500,Yes,No
Local Restaurant 994,3.5,377,Marathahalli,Cafe,800,No,No
Truffles,3.4,1603,Jayanagar,South Indian,700,No,Yes
Local Restaurant 996,4.3,1754,Indiranagar,Multi Cuisine,1000,No,No
Meghana Foods,4.2,1789,JP Nagar,Multi Cuisine,600,No,Yes
Domino's Pizza,3.4,984,Koramangala,North Indian,1200,Yes,No
Subway,4.9,1608,Jayanagar,North Indian,400,No,Yes
Subway,4.0,734,Koramangala,Biryani,400,Yes,No
Truffles,3.7,1003,Koramangala,Chinese,700,Yes,No
KFC,4.7,2284,Koramangala,North Indian,800,No,No
Meghana Foods,3.9,478,Koramangala,Chinese,1200,No,No
Meghana Foods,4.1,1960,Indiranagar,South Indian,900,No,Yes
Truffles,4.1,1838,HSR,Multi Cuisine,600,No,Yes
Local Restaurant 1006,4.4,926,MG Road,South Indian,900,Yes,No
Local Restaurant 1007,4.7,1902,Whitefield,Italian,700,No,No
Empire Restaurant,4.7,335,JP Nagar,Fast Food,1000,No,Yes
Cafe Coffee Day,4.7,2107,Banashankari,Cafe,1400,No,No
Subway,3.9,506,Banashankari,Italian,500,Yes,No
KFC,4.4,554,Marathahalli,Cafe,700,No,Yes
Cafe Coffee Day,4.2,1768,JP Nagar,Cafe,900,No,Yes
Domino's Pizza,4.7,1463,JP Nagar,Multi Cuisine,1400,Yes,Yes
Truffles,3.4,316,Indiranagar,Italian,900,Yes,No
Pizza Hut,3.5,84,Indiranagar,Fast Food,1200,No,No
Pizza Hut,3.4,1706,JP Nagar,Pizza,1000,No,Yes
Burger King,4.6,1488,Banashankari,Pizza,1200,No,Yes
Subway,4.5,382,JP Nagar,South Indian,1200,No,Yes
Subway,3.9,674,Whitefield,South Indian,900,Yes,Yes
Local Restaurant 1020,3.9,1749,Indiranagar,Cafe,600,No,Yes
Local Restaurant 1021,3.6,2428,HSR,Biryani,1200,Yes,No
Empire Restaurant,4.2,918,MG Road,Fast Food,900,No,No
Truffles,4.5,1604,HSR,Pizza,400,Yes,No
Truffles,4.2,2485,Jayanagar,Chinese,600,Yes,No
Subway,3.5,1346,HSR,Biryani,1400,No,No
Pizza Hut,3.6,894,Indiranagar,Pizza,500,No,Yes
McDonald's,3.7,628,Whitefield,North Indian,1000,No,No
Domino's Pizza,3.6,787,BTM,North Indian,600,Yes,No
Truffles,4.3,1609,BTM,Biryani,1400,No,Yes
Local Restaurant 1030,4.5,2325,Marathahalli,North Indian,800,Yes,Yes
Local Restaurant 1031,3.8,507,HSR,American,800,No,Yes
Pizza Hut,4.5,1990,Whitefield,Italian,500,Yes,No
Burger King,4.6,1461,Koramangala,Cafe,1400,Yes,No
KFC,3.5,1233,Jayanagar,American,700,No,Yes
Local Restaurant 1035,4.8,1479,Koramangala,Chinese,500,No,No
McDonald's,4.9,2176,JP Nagar,South Indian,800,Yes,Yes
Truffles,4.1,1568,HSR,Italian,900,Yes,Yes
Burger King,4.8,2338,BTM,South Indian,1000,No,No
KFC,4.0,525,BTM,Multi Cuisine,500,No,Yes
Local Restaurant 1040,4.1,1723,Banashankari,Chinese,1400,Yes,No
KFC,4.2,1621,Jayanagar,North Indian,700,Yes,No
KFC,3.8,1174,BTM,Multi Cuisine,900,No,No
Empire Restaurant,4.8,437,Jayanagar,Italian,400,No,Yes
Local Restaurant 1044,4.7,914,Marathahalli,Cafe,700,No,No
McDonald's,3.7,1212,JP Nagar,Pizza,800,Yes,Yes
Pizza Hut,3.8,294,Banashankari,South Indian,800,No,Yes
Domino's Pizza,4.5,453,MG Road,Biryani,1000,Yes,Yes
Local Restaurant 1048,4.7,1062,Indiranagar,Chinese,1000,No,Yes
KFC,3.9,1544,Marathahalli,Biryani,1000,No,Yes
Cafe Coffee Day,4.8,2000,Marathahalli,Chinese,1000,No,No
Cafe Coffee Day,4.0,1550,Whitefield,North Indian,1000,Yes,Yes
Local Restaurant 1052,4.6,927,Marathahalli,Cafe,700,Yes,No
Meghana Foods,3.5,1672,Banashankari,Multi Cuisine,1200,No,Yes
Empire Restaurant,3.4,719,BTM,Cafe,1000,No,No
Domino's Pizza,4.4,112,Whitefield,Pizza,1400,No,Yes
McDonald's,3.4,242,Banashankari,Pizza,900,No,Yes
Empire Restaurant,3.6,575,MG Road,Italian,800,No,Yes
Truffles,4.2,2074,HSR,Fast Food,1000,No,No
KFC,3.8,2453,Jayanagar,South Indian,1400,No,Yes
Truffles,4.0,702,Jayanagar,Fast Food,600,No,No
KFC,3.9,1051,Marathahalli,South Indian,1000,Yes,No
Pizza Hut,3.8,2123,JP Nagar,Italian,400,No,Yes
Local Restaurant 1063,3.8,2400,Marathahalli,Biryani,700,Yes,No
Empire Restaurant,4.0,155,MG Road,Chinese,800,No,Yes
McDonald's,3.6,1328,Whitefield,Chinese,600,Yes,No
KFC,3.7,2132,HSR,Multi Cuisine,400,No,Yes
Burger King,3.4,2033,Indiranagar,Chinese,700,Yes,No
Cafe Coffee Day,3.9,1670,Jayanagar,South Indian,1400,No,No
Pizza Hut,3.8,1680,Indiranagar,Fast Food,600,No,No
Domino's Pizza,4.7,2383,Whitefield,Pizza,400,No,No
Meghana Foods,3.5,2142,Whitefield,North Indian,900,No,Yes
Meghana Foods,4.3,1921,Banashankari,Fast Food,700,Yes,No
Subway,3.2,439,Marathahalli,Fast Food,1200,No,No
Meghana Foods,3.8,294,Jayanagar,Pizza,500,Yes,Yes
Truffles,3.9,1642,Koramangala,Fast Food,500,No,Yes
McDonald's,3.9,522,BTM,Chinese,600,Yes,No
Burger King,4.2,1487,Marathahalli,Fast Food,1200,Yes,Yes
Cafe Coffee Day,4.6,1539,HSR,North Indian,900,No,No
Cafe Coffee Day,3.4,606,BTM,Fast Food,900,No,No
McDonald's,3.7,1908,MG Road,Biryani,800,Yes,No
Meghana Foods,3.5,65,JP Nagar,South Indian,500,No,No
Meghana Foods,3.8,561,Marathahalli,American,1400,Yes,Yes
Empire Restaurant,4.8,2190,Jayanagar,Chinese,500,Yes,Yes
Truffles,3.9,2334,Marathahalli,Chinese,900,Yes,Yes
KFC,4.3,2034,BTM,Chinese,1200,Yes,No
McDonald's,4.3,1347,BTM,Biryani,900,No,Yes
Local Restaurant 1087,3.4,1115,Marathahalli,Italian,1200,No,Yes
Local Restaurant 1088,3.7,1785,Indiranagar,North Indian,1200,Yes,Yes
Local Restaurant 1089,4.6,1076,Jayanagar,Multi Cuisine,1200,No,Yes
KFC,3.4,1378,Indiranagar,Italian,900,No,Yes
Cafe Coffee Day,3.4,286,Marathahalli,Biryani,1000,Yes,No
Meghana Foods,3.4,365,Banashankari,Cafe,1400,Yes,Yes
Cafe Coffee Day,4.6,1779,Marathahalli,Biryani,600,Yes,No
Truffles,3.5,1036,Indiranagar,North Indian,1000,Yes,No
Pizza Hut,3.8,1669,JP Nagar,South Indian,500,No,No
Local Restaurant 1096,3.8,674,Jayanagar,Cafe,800,No,No
Pizza Hut,4.8,827,Whitefield,Multi Cuisine,800,Yes,Yes
Meghana Foods,3.7,2439,Whitefield,American,400,Yes,No
McDonald's,4.1,796,Indiranagar,Cafe,1000,Yes,Yes
Meghana Foods,3.6,1853,HSR,South Indian,800,Yes,No
Local Restaurant 1101,3.8,471,Whitefield,South Indian,400,No,No
Pizza Hut,3.3,977,Koramangala,South Indian,600,No,No
Meghana Foods,4.1,502,Jayanagar,Italian,1200,No,Yes
Truffles,4.6,2247,HSR,Pizza,1400,No,No
Subway,4.0,485,Jayanagar,Italian,1200,No,Yes
Burger King,4.6,1868,Whitefield,Multi Cuisine,900,Yes,No
Empire Restaurant,4.4,1207,Marathahalli,Chinese,600,No,No
Pizza Hut,3.7,1128,BTM,American,900,Yes,Yes
KFC,4.5,993,Jayanagar,North Indian,700,No,No
Empire Restaurant,4.1,1622,Koramangala,Fast Food,400,No,No
Subway,3.4,1908,Koramangala,Chinese,700,No,Yes
McDonald's,3.6,502,HSR,South Indian,1200,No,No
Local Restaurant 1113,4.4,2275,BTM,Cafe,700,Yes,Yes
Local Restaurant 1114,4.2,325,Marathahalli,Multi Cuisine,1200,No,No
Domino's Pizza,4.8,2419,Jayanagar,Pizza,900,Yes,No
KFC,3.5,1485,Indiranagar,Italian,400,Yes,No
Burger King,4.3,772,Koramangala,Biryani,1200,Yes,No
Local Restaurant 1118,3.7,882,BTM,American,500,Yes,No
Local Restaurant 1119,4.0,1632,Koramangala,Cafe,1400,No,No
Local Restaurant 1120,4.8,599,Banashankari,Multi Cuisine,600,Yes,Yes
Domino's Pizza,4.2,1699,Indiranagar,Multi Cuisine,800,No,Yes
Local Restaurant 1122,3.6,874,Koramangala,Pizza,800,Yes,Yes
Truffles,4.5,123,MG Road,Italian,1400,Yes,No
Subway,4.8,1143,MG Road,Biryani,1400,Yes,No
Burger King,3.9,1097,Marathahalli,Pizza,1000,No,Yes
Local Restaurant 1126,3.7,1521,Indiranagar,Italian,1400,No,Yes
Local Restaurant 1127,4.5,1600,Indiranagar,Multi Cuisine,700,Yes,No
Local Restaurant 1128,4.5,913,JP Nagar,Biryani,400,No,No
Truffles,4.3,597,Whitefield,Fast Food,600,Yes,No
Meghana Foods,3.8,1202,HSR,Italian,1200,Yes,No
Meghana Foods,4.8,567,JP Nagar,Cafe,800,No,No
Empire Restaurant,4.7,112,MG Road,American,700,Yes,No
Cafe Coffee Day,4.5,1326,Whitefield,American,400,Yes,No
Burger King,4.3,540,Jayanagar,Multi Cuisine,700,Yes,No
Local Restaurant 1135,4.8,2500,Jayanagar,Cafe,1200,Yes,No
Domino's Pizza,3.2,2421,JP Nagar,Italian,400,Yes,No
Local Restaurant 1137,4.0,1706,Whitefield,North Indian,800,No,Yes
Pizza Hut,4.1,1992,Banashankari,Cafe,900,No,Yes
Pizza Hut,3.5,476,HSR,Cafe,600,No,No
Meghana Foods,4.2,1157,Whitefield,American,500,Yes,No
McDonald's,3.5,1715,Marathahalli,Biryani,900,No,No
KFC,4.1,1215,Banashankari,North Indian,800,No,Yes
Local Restaurant 1143,4.8,759,JP Nagar,Biryani,1400,Yes,No
Burger King,3.3,1161,Indiranagar,Pizza,700,Yes,No
Truffles,3.7,488,Marathahalli,Fast Food,900,Yes,Yes
McDonald's,3.7,1683,Marathahalli,Chinese,900,Yes,Yes
Subway,4.3,1345,JP Nagar,South Indian,1200,Yes,No
Local Restaurant 1148,4.0,389,Jayanagar,Chinese,400,Yes,Yes
Cafe Coffee Day,3.9,305,MG Road,Chinese,900,No,Yes
Empire Restaurant,4.8,2467,Indiranagar,Italian,600,Yes,Yes
Local Restaurant 1151,4.4,1872,MG Road,Chinese,1200,Yes,Yes
Local Restaurant 1152,4.9,925,Whitefield,North Indian,800,Yes,No
Pizza Hut,4.4,999,Marathahalli,Multi Cuisine,400,No,No
Truffles,4.5,643,Indiranagar,Pizza,1000,Yes,Yes
Local Restaurant 1155,4.8,621,MG Road,Multi Cuisine,1400,No,Yes
Domino's Pizza,4.0,529,Whitefield,Biryani,1400,Yes,Yes
Local Restaurant 1157,3.9,2048,BTM,Pizza,400,No,No
Local Restaurant 1158,4.1,953,Marathahalli,South Indian,1400,No,Yes
McDonald's,4.1,100,Jayanagar,Fast Food,1400,No,Yes
Pizza Hut,3.2,1408,JP Nagar,Multi Cuisine,1000,Yes,No
Burger King,4.0,421,Banashankari,Multi Cuisine,1000,No,No
Pizza Hut,4.5,2118,MG Road,Pizza,600,No,No
Burger King,3.7,809,Jayanagar,American,1400,Yes,No
Meghana Foods,3.3,694,BTM,Biryani,900,No,No
Cafe Coffee Day,4.1,1004,Marathahalli,Multi Cuisine,400,Yes,Yes
McDonald's,4.0,1488,HSR,Biryani,1400,Yes,Yes
Meghana Foods,4.2,2135,Indiranagar,Biryani,1400,No,No
Domino's Pizza,4.5,1585,JP Nagar,Pizza,700,No,No
Subway,4.7,2301,JP Nagar,Cafe,1400,Yes,No
Pizza Hut,3.6,811,BTM,Biryani,500,Yes,Yes
Domino's Pizza,3.6,598,Whitefield,Chinese,600,Yes,No
Local Restaurant 1172,3.9,584,Jayanagar,Italian,500,Yes,No
Local Restaurant 1173,4.0,2098,Koramangala,North Indian,1400,Yes,Yes
Subway,4.1,1198,Jayanagar,Multi Cuisine,800,Yes,No
Truffles,3.3,950,Whitefield,Chinese,600,No,No
Local Restaurant 1176,4.4,2308,Whitefield,American,1400,Yes,No
Local Restaurant 1177,4.1,79,Marathahalli,Cafe,800,No,Yes
Cafe Coffee Day,3.9,784,MG Road,North Indian,700,Yes,No
McDonald's,3.5,232,Indiranagar,South Indian,700,No,No
Burger King,4.4,2218,Koramangala,Fast Food,1200,Yes,No
Domino's Pizza,3.4,221,Indiranagar,Italian,400,No,Yes
Local Restaurant 1182,4.2,1542,JP Nagar,Multi Cuisine,400,Yes,Yes
Meghana Foods,4.1,714,Banashankari,Cafe,800,Yes,Yes
Local Restaurant 1184,3.4,1308,Koramangala,Biryani,900,No,Yes
Local Restaurant 1185,3.7,824,Jayanagar,Italian,500,Yes,Yes
KFC,3.7,1480,HSR,Multi Cuisine,1200,Yes,No
McDonald's,3.8,479,Jayanagar,Multi Cuisine,1000,Yes,Yes
McDonald's,3.9,837,JP Nagar,Pizza,400,No,No
Subway,4.4,766,BTM,Multi Cuisine,1000,No,No
Pizza Hut,4.6,2199,Jayanagar,Fast Food,1400,Yes,Yes
KFC,3.6,904,Koramangala,Cafe,700,No,Yes
Empire Restaurant,3.2,1987,Koramangala,Fast Food,600,Yes,Yes
Local Restaurant 1193,3.5,2385,Banashankari,Fast Food,700,Yes,No
Domino's Pizza,3.8,591,HSR,South Indian,700,Yes,Yes
Pizza Hut,4.0,966,Banashankari,Chinese,1400,Yes,No
Pizza Hut,3.7,1956,BTM,Italian,900,No,No
Local Restaurant 1197,3.3,1083,Koramangala,Chinese,800,Yes,No
McDonald's,3.4,2202,BTM,American,600,No,No
Local Restaurant 1199,3.8,756,Koramangala,American,1000,Yes,No
Domino's Pizza,4.5,1954,Whitefield,South Indian,800,Yes,Yes
McDonald's,4.0,1567,Banashankari,Multi Cuisine,1400,Yes,Yes
Subway,4.1,1567,Whitefield,North Indian,1400,Yes,No
Pizza Hut,4.3,2065,BTM,Cafe,900,Yes,Yes
KFC,3.9,2050,BTM,Italian,500,Yes,Yes
Local Restaurant 1205,4.4,243,Banashankari,American,700,No,Yes
Meghana Foods,4.3,1501,BTM,Fast Food,900,Yes,No
Local Restaurant 1207,3.3,1130,BTM,Italian,1000,No,Yes
Subway,4.7,628,MG Road,Italian,1000,No,No
Meghana Foods,3.7,2059,Indiranagar,Italian,1000,No,No
McDonald's,3.3,892,Koramangala,Multi Cuisine,900,No,Yes
Truffles,4.3,1365,Indiranagar,Chinese,800,No,Yes
Truffles,3.9,840,HSR,Fast Food,600,Yes,Yes
Truffles,4.6,1016,Indiranagar,Biryani,900,Yes,Yes
McDonald's,4.3,1029,MG Road,Multi Cuisine,500,Yes,No
Local Restaurant 1215,4.8,78,Jayanagar,Pizza,500,Yes,No
Truffles,4.0,1261,JP Nagar,North Indian,600,No,Yes
Empire Restaurant,4.2,1398,Whitefield,American,400,Yes,No
Pizza Hut,4.2,1751,HSR,Multi Cuisine,800,Yes,No
KFC,3.3,132,MG Road,North Indian,900,Yes,Yes
KFC,4.1,663,MG Road,South Indian,800,Yes,Yes
McDonald's,3.4,1958,HSR,South Indian,600,No,Yes
Pizza Hut,3.9,137,Koramangala,Chinese,800,No,No
Burger King,3.4,648,JP Nagar,Fast Food,1400,No,No
Subway,3.9,307,MG Road,Fast Food,500,Yes,No
Empire Restaurant,3.4,746,Marathahalli,Biryani,700,No,Yes
Cafe Coffee Day,4.7,1490,BTM,American,1400,Yes,No
Local Restaurant 1227,4.5,2191,Marathahalli,North Indian,1400,No,Yes
Local Restaurant 1228,4.3,1248,Whitefield,American,1200,No,No
Truffles,4.4,1921,Jayanagar,American,700,No,Yes
Subway,4.3,1475,Banashankari,American,400,Yes,Yes
Local Restaurant 1231,3.8,203,Indiranagar,Fast Food,1000,Yes,No
Truffles,3.2,1780,Koramangala,American,1200,Yes,No
Subway,4.2,1506,Whitefield,Biryani,1200,No,Yes
Subway,4.3,2017,Jayanagar,Cafe,800,Yes,No
McDonald's,3.7,1367,MG Road,Chinese,1400,No,No
Local Restaurant 1236,3.7,424,MG Road,Italian,700,Yes,Yes
Empire Restaurant,3.6,1918,MG Road,Fast Food,1000,Yes,Yes
Local Restaurant 1238,3.8,962,BTM,Fast Food,1200,No,Yes
Subway,4.7,788,BTM,Italian,1000,No,Yes
Local Restaurant 1240,3.3,1037,MG Road,Chinese,700,No,Yes
KFC,4.7,1659,Jayanagar,Cafe,1200,Yes,No
Local Restaurant 1242,4.3,1969,Koramangala,Chinese,900,No,No
Subway,4.4,1257,MG Road,Multi Cuisine,400,Yes,No
Truffles,4.2,1427,Banashankari,American,600,Yes,Yes
